PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PWCJ00208,PWC台灣自來水股份有限公司第四區管理處大雅營運所,神林路一段(478巷46號前),孔蓋異常，恐影響民眾安危,120.6589271,24.24444641
PW4J01610,PW4台灣自來水股份有限公司第四區管理處台中給水廠,豐樂路(12-7號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6868752,24.19341346
PTBJ02822,PTB台灣電力股份有限公司台中區營業處(維護組),何安二巷(20號.G5547DB34),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6572723,24.16595463
PTBJ02823,PTB台灣電力股份有限公司台中區營業處(維護組),重慶路(120巷8號.G5547CB64),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6565917,24.16585146
PTBJ02824,PTB台灣電力股份有限公司台中區營業處(維護組),忠明南路(720號),路面異常，恐影響民眾安危,120.6590015,24.12636946
PTBJ02825,PTB台灣電力股份有限公司台中區營業處(維護組),忠明南路(與忠明南路759巷口),路面異常，恐影響民眾安危,120.6600199,24.12435894
PTCJ00178,PTC台灣電力股份有限公司台中區營業處豐原分處,中正路(與中山路交叉路口處),路面異常，恐影響民眾安危,120.7143856,24.25094007
PW9J00032,PW9台灣自來水股份有限公司第四區管理處大甲營運所,中山路一段(1235號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6314885,24.35501903
PW4J01308,PW4台灣自來水股份有限公司第四區管理處台中給水廠,五權三街(408號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6565865,24.137978
PW4J01330,PW4台灣自來水股份有限公司第四區管理處台中給水廠,西屯路三段(95號對面),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6277861,24.18416766
PW4J01331,PW4台灣自來水股份有限公司第四區管理處台中給水廠,博館路(與華美街口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6622293,24.15844263
PW7J00328,PW7台灣自來水股份有限公司第四區管理處大里服務所,振昌街(116號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7052237,24.15483145
PTBJ02306,PTB台灣電力股份有限公司台中區營業處(維護組),錦南街(2號旁.G5944DC7922),孔蓋異常，恐影響民眾安危,120.6889634,24.15376568
PTBJ02307,PTB台灣電力股份有限公司台中區營業處(維護組),旱溪東路三段49號(G6249BD7165),孔蓋異常，恐影響民眾安危,120.7107058,24.17653685
PWBJ00193,PWB台灣自來水股份有限公司第四區管理處沙鹿營運所,興安路57巷(5號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.5533583,24.23055656
PTBJ02308,PTB台灣電力股份有限公司台中區營業處(維護組),錦南街(10號.G5944DD3093),孔蓋異常，恐影響民眾安危,120.6887204,24.1538721
PW2J00087,PW2台灣自來水股份有限公司第四區管理處豐原給水廠,大明路(75號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7001274,24.26676253
PTBJ02335,PTB台灣電力股份有限公司台中區營業處(維護組),昌平一街(73號.G5951DB2743),孔蓋異常，恐影響民眾安危,120.6885045,24.18421921
PW4J01350,PW4台灣自來水股份有限公司第四區管理處台中給水廠,自由路一段(與民生路口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6784965,24.1364349
PW4J01351,PW4台灣自來水股份有限公司第四區管理處台中給水廠,新興路16巷(2號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6622545,24.19379738
PC3J00101,PC3中華電信股份有限公司臺中營運處第三客戶網路中心,昌平路三段(690號),孔蓋異常，恐影響民眾安危,120.6678541,24.21544129
